user_id,job_id,match_percentage,recommend
user_1,job_1,75.0,True
user_1,job_2,40.0,False
user_1,job_3,37.5,False
user_1,job_4,37.5,False
user_1,job_5,12.5,False
user_1,job_6,12.5,False
user_1,job_7,12.5,False
user_1,job_8,0.0,False
user_2,job_1,50.0,False
user_2,job_2,50.0,False
user_2,job_3,37.5,False
user_2,job_4,25.0,False
user_2,job_5,0.0,False
user_2,job_6,12.5,False
user_2,job_7,12.5,False
user_2,job_8,0.0,False
user_3,job_1,50.0,False
user_3,job_2,20.0,False
user_3,job_3,37.5,False
user_3,job_4,75.0,True
user_3,job_5,0.0,False
user_3,job_6,12.5,False
user_3,job_7,12.5,False
user_3,job_8,0.0,False
user_4,job_1,12.5,False
user_4,job_2,0.0,False
user_4,job_3,0.0,False
user_4,job_4,0.0,False
user_4,job_5,50.0,False
user_4,job_6,0.0,False
user_4,job_7,12.5,False
user_4,job_8,0.0,False
user_5,job_1,100.0,True
user_5,job_2,40.0,False
user_5,job_3,50.0,False
user_5,job_4,50.0,False
user_5,job_5,12.5,False
user_5,job_6,12.5,False
user_5,job_7,12.5,False
user_5,job_8,0.0,False
user_6,job_1,12.5,False
user_6,job_2,10.0,False
user_6,job_3,12.5,False
user_6,job_4,12.5,False
user_6,job_5,12.5,False
user_6,job_6,25.0,False
user_6,job_7,62.5,False
user_6,job_8,0.0,False
user_7,job_1,50.0,False
user_7,job_2,30.0,False
user_7,job_3,50.0,False
user_7,job_4,37.5,False
user_7,job_5,0.0,False
user_7,job_6,12.5,False
user_7,job_7,12.5,False
user_7,job_8,0.0,False
user_8,job_1,25.0,False
user_8,job_2,20.0,False
user_8,job_3,12.5,False
user_8,job_4,12.5,False
user_8,job_5,0.0,False
user_8,job_6,12.5,False
user_8,job_7,12.5,False
user_8,job_8,37.5,False
